ts,cpu,mem_used_mb,mem_limit_mb
1772256426,102.45%,0,0
1772256428,102.90%,0,0
1772256431,57.13%,0,0
1772256433,57.11%,0,0
1772256436,56.56%,0,0
1772256439,57.01%,0,0
1772256441,78.73%,0,0
1772256444,100.46%,0,0
1772256446,101.13%,0,0
1772256449,100.15%,0,0
1772256452,100.53%,0,0
1772256454,100.07%,0,0
1772256457,100.04%,0,0
1772256459,100.78%,0,0
1772256462,100.49%,0,0
1772256464,98.81%,0,0
1772256467,100.09%,0,0
1772256470,100.26%,0,0
1772256472,100.28%,0,0
1772256475,100.51%,0,0
1772256477,100.09%,0,0
1772256480,100.39%,0,0
1772256482,100.79%,0,0
1772256485,100.12%,0,0
1772256488,100.58%,0,0
1772256490,100.19%,0,0
1772256493,100.55%,0,0
1772256495,104.11%,0,0
1772256498,100.28%,0,0
1772256500,100.37%,0,0
1772256503,99.88%,0,0
1772256506,100.78%,0,0
1772256508,99.79%,0,0
1772256511,100.44%,0,0
1772256513,100.46%,0,0
1772256516,100.54%,0,0
1772256518,100.48%,0,0
1772256521,100.27%,0,0
1772256524,100.17%,0,0
1772256526,0.00%,0,0
