mode,run,rows,millis,rows_per_sec,mem_delta_mb,gc_events,pause_sum_ms,pause_max_ms,pause_p95_ms,pause_p99_ms,peak_before_mb,peak_after_mb
JsonNode,1,10000000,30670.0,326051.52,-63.93,341,365.85100000000006,3.984,2.214,3.031600000000014,121.0,2.0
JsonNode,2,10000000,30581.0,327000.43,-63.99,341,360.87600000000015,3.736,1.982,2.836400000000005,121.0,2.0
JsonNode,3,10000000,30998.0,322601.46,-63.94,341,365.34200000000004,6.404,2.193,2.655200000000001,121.0,2.0
JsonNode,4,10000000,30867.0,323970.58,-63.89,341,364.76399999999995,4.541,1.948,3.087200000000004,121.0,2.0
JsonNode,5,10000000,30813.0,324538.34,-63.96,341,359.24899999999997,4.398,1.973,2.548600000000001,121.0,2.0
POJO,1,10000000,31266.0,319836.24,-23.99,208,204.73899999999992,4.374,2.8423,3.4416,122.0,3.0
POJO,2,10000000,31171.0,320811.01,-24.02,208,209.57400000000004,4.134,3.0250999999999992,3.9488800000000004,122.0,3.0
POJO,3,10000000,30958.0,323018.28,-24.43,208,202.73300000000015,3.889,2.7152999999999996,3.48332,122.0,3.0
POJO,4,10000000,31322.0,319264.41,-25.04,208,208.6480000000001,4.999,2.8377499999999976,3.92965,122.0,2.0
POJO,5,10000000,31316.0,319325.58,-24.0,208,209.086,6.419,2.8442999999999987,3.850420000000004,122.0,3.0
